Plant Code,Plant Name,State,Latitude,Longitude,BA Code,BA Name,Fuel Type,Prime Mover,Net Generation (MWh)
54,J K Smith,KY,37.8833,-84.1017,PJM,"PJM Interconnection, LLC",DFO,GT,924.136
54,J K Smith,KY,37.8833,-84.1017,PJM,"PJM Interconnection, LLC",NG,GT,827213.862
204,Clinton Power Station,IL,40.1719,-88.8339,MISO,"Midcontinent Independent Transmission System Operator, Inc..",NUC,ST,16203256.0
312,Refuse & Coal,OH,39.902222,-83.024444,,,,,
384,Joliet 29,IL,41.494636,-88.123827,PJM,"PJM Interconnection, LLC",NG,ST,1415580.0
384,Joliet 29,IL,41.494636,-88.123827,PJM,"PJM Interconnection, LLC",SUB,ST,0.0
591,Christiana,DE,39.7302,-75.5371,PJM,"PJM Interconnection, LLC",DFO,GT,438.0
592,Delaware City 10,DE,39.600408,-75.626811,PJM,"PJM Interconnection, LLC",DFO,GT,-1154.0
593,Edge Moor,DE,39.73886,-75.50384,PJM,"PJM Interconnection, LLC",DFO,GT,-9598.0
593,Edge Moor,DE,39.73886,-75.50384,PJM,"PJM Interconnection, LLC",DFO,ST,162.49399999999997
593,Edge Moor,DE,39.73886,-75.50384,PJM,"PJM Interconnection, LLC",NG,ST,437980.338
593,Edge Moor,DE,39.73886,-75.50384,PJM,"PJM Interconnection, LLC",RFO,ST,16043.172
594,Indian River Generating Station,DE,38.5857,-75.2341,PJM,"PJM Interconnection, LLC",BIT,ST,-12996.833999999999
594,Indian River Generating Station,DE,38.5857,-75.2341,PJM,"PJM Interconnection, LLC",DFO,GT,1210.0
594,Indian River Generating Station,DE,38.5857,-75.2341,PJM,"PJM Interconnection, LLC",DFO,ST,-6779.166
594,Indian River Generating Station,DE,38.5857,-75.2341,PJM,"PJM Interconnection, LLC",RFO,GT,0.0
594,Indian River Generating Station,DE,38.5857,-75.2341,PJM,"PJM Interconnection, LLC",RFO,ST,0.0
594,Indian River Generating Station,DE,38.5857,-75.2341,PJM,"PJM Interconnection, LLC",SUB,GT,0.0
594,Indian River Generating Station,DE,38.5857,-75.2341,PJM,"PJM Interconnection, LLC",SUB,ST,0.0
597,West Station (DE),DE,39.7283,-75.6289,PJM,"PJM Interconnection, LLC",DFO,GT,-9954.0
599,McKee Run,DE,39.176222,-75.546628,PJM,"PJM Interconnection, LLC",,,
602,Brandon Shores,MD,39.182073,-76.537151,PJM,"PJM Interconnection, LLC",BIT,ST,2045132.3739999998
602,Brandon Shores,MD,39.182073,-76.537151,PJM,"PJM Interconnection, LLC",DFO,ST,25445.668
602,Brandon Shores,MD,39.182073,-76.537151,PJM,"PJM Interconnection, LLC",RC,ST,0.0
861,Coffeen,IL,39.0586,-89.4031,MISO,"Midcontinent Independent Transmission System Operator, Inc..",,,
862,Grand Tower Energy Center LLC,IL,37.6577,-89.511161,MISO,"Midcontinent Independent Transmission System Operator, Inc..",NG,CA,0.0
862,Grand Tower Energy Center LLC,IL,37.6577,-89.511161,MISO,"Midcontinent Independent Transmission System Operator, Inc..",NG,CT,0.0
865,Bloom,IL,42.057222,-87.869444,,,,,
866,Calumet,IL,41.713611,-87.542778,,,,,
867,Crawford,IL,41.82848,-87.72291,PJM,"PJM Interconnection, LLC",,,
869,Dresden Generating Station,IL,41.39,-88.27,PJM,"PJM Interconnection, LLC",NUC,ST,30538396.0
870,Electric Junction,IL,41.8333,-88.0833,,,,,
874,Joliet 9,IL,41.4931,-88.1153,PJM,"PJM Interconnection, LLC",NG,ST,-55206.0
874,Joliet 9,IL,41.4931,-88.1153,PJM,"PJM Interconnection, LLC",SUB,ST,0.0
876,Kincaid Generation LLC,IL,39.590556,-89.496389,PJM,"PJM Interconnection, LLC",NG,ST,26265.729999999996
876,Kincaid Generation LLC,IL,39.590556,-89.496389,PJM,"PJM Interconnection, LLC",RC,ST,0.0
